SOTA Summits List (Date=30/07/2020)
SummitCode,AssociationName,RegionName,SummitName,AltM,AltFt,GridRef1,GridRef2,Longitude,Latitude,Points,BonusPoints,ValidFrom,ValidTo,ActivationCount,ActivationDate,ActivationCall
HB/AG-013,Switzerland,Aargau,Tannwald,712,2336,8.2180,47.3420,8.2180004119873,47.341999053955,1,0,01/02/2011,31/12/2099,46,26/06/2020,HB3/DO4AT/P
HB/AI-013,Switzerland,"Appenzell Innerrhoden",Furgglenfirst,1952,6403,9.4475,47.2565,9.4475002288818,47.256500244141,6,3,01/06/2010,31/12/2099,16,27/06/2020,HB3/DO3IC/P
HB/BL-001,Switzerland,"Basel Land","Hinteri Egg",1169,3834,7.7108,47.3726,7.7108001708984,47.37260055542,2,0,01/08/2005,31/12/2099,62,01/07/2020,HB3/DO3IC
HB/SO-008,Switzerland,Solothurn,Passwang/Vogelberg,1204,3950,7.6825,47.3683,7.6824998855591,47.368301391602,2,0,01/08/2005,31/12/2099,78,27/07/2020,HB9OME/P
HB/AG-012,Switzerland,Aargau,"Hochwacht/ Homberg",788,2585,8.1841,47.2761,8.184100151062,47.276100158691,1,0,01/02/2011,31/12/2099,95,25/07/2020,HB9DBM/P
HB/SO-003,Switzerland,Solothurn,Röti,1395,4577,7.5280,47.2579,7.5279998779297,47.257900238037,2,0,01/08/2005,31/12/2099,91,05/07/2020,HB9BAT/P
HB/GR-294,Switzerland,Graubünden,Chrüz,2196,7204,9.7748,46.9549,9.7748003005981,46.954898834229,8,3,01/12/2007,31/12/2099,23,27/06/2020,HB9GUX/P
HB/AR-004,Switzerland,"Appenzell Ausserrhoden",Kaienspitz,1121,3677,9.5042,47.4324,9.5041999816895,47.432399749756,2,0,01/08/2005,31/12/2099,117,14/07/2020,HB9CGA/P
HB/BE-138,Switzerland,Bern,Burgfeldstand,2063,6768,7.7948,46.7224,7.7947998046875,46.722400665283,8,3,01/06/2010,31/12/2099,82,22/07/2020,HB9GZX/P
HB/SZ-010,Switzerland,Schwyz,"Twärenen-Räui/ Silberen",2318,7603,8.8995,46.9924,8.8994998931885,46.992401123047,8,3,01/08/2005,31/12/2099,18,01/07/2020,HB9GUX/P
DM/BW-384,"Germany (Low Mountains)","Baden Wuerttemberg",Teufelsmühle,908,2978,8.4092,48.7542,8.4091997146606,48.754199981689,10,3,01/01/2008,31/12/2008,2,02/07/2008,DL/GW0DSP/P
DM/BW-359,"Germany (Low Mountains)","Baden Wuerttemberg",Stöckenloch,698,2289,9.0353,47.7867,9.0353002548218,47.786701202393,6,0,01/01/2008,31/12/2099,60,26/07/2020,DL/HB9BRJ/P
DM/BW-348,"Germany (Low Mountains)","Baden Wuerttemberg",Gehrenberg,754,2473,9.4242,47.7417,9.4242000579834,47.74169921875,8,0,01/01/2008,31/12/2099,181,12/07/2020,DL/HB9DIZ/P
S5/JA-047,Slovenia,"Julijske Alpe",Rudnica,946,3103,13.9203,46.2856,13.920299530029,46.285598754883,4,0,15/06/2008,31/12/2099,14,12/07/2019,S5/SM6JWR/P
